ID,uDay,uTime,uName,uTeacher,Day,Time,Name,Status,SignTime,dtStart,dtEnd,dtSignTime,Link
september11saturday10:30am-11:30ammovatibarrephysique(e),Saturday11,10:30am-11:30am,Movati Barre Physique (E),Aida C.,09/11/2021,10:30am - 11:30am,Movati Barre Physique (E),Available,,2021-09-11 10:30:00,2021-09-11 11:30:00,2021-09-11 00:00:00,https://api.groupexpro.com/gxp/reservations/start/index/12414368/09/11/2021
september11saturday11:30am-12:30pmzumbaâ®(e),Saturday11,11:30am-12:30pm,ZumbaÂ® (E),Stewart  T.,09/11/2021,11:30am - 12:30pm,Zumba® (E),Available,,2021-09-11 11:30:00,2021-09-11 12:30:00,2021-09-11 00:00:00,https://api.groupexpro.com/gxp/reservations/start/index/12413731/09/11/2021
september12sunday9:00am-10:00amkettlebellinterval(e),Sunday12,9:00am-10:00am,Kettlebell Interval (E),Jennifer M.,09/12/2021,9:00am - 10:00am,Kettlebell Interval (E),Available,,2021-09-12 09:00:00,2021-09-12 10:00:00,2021-09-11 00:00:00,https://api.groupexpro.com/gxp/reservations/start/index/12413743/09/12/2021
september12sunday6:15pm-7:15pmyin(e),Sunday12,6:15pm-7:15pm,Yin (E) , Meghan T.,09/12/2021,6:15pm - 7:15pm,Yin (E),Waitlist,,2021-09-12 18:15:00,2021-09-12 19:15:00,2021-09-11 00:00:00,https://api.groupexpro.com/gxp/reservations/start/index/12416920/09/12/2021
september14tuesday6:15am-7:15ammovatiintervals(e),Tuesday14,6:15am-7:15am,Movati Intervals (E),Erica Z.,09/14/2021,6:15am - 7:15am,Movati Intervals (E),TBO,09/11/2021 5:15:00,2021-09-14 06:15:00,2021-09-14 07:15:00,2021-09-11 05:15:00,https://api.groupexpro.com/gxp/reservations/start/index/12343039/09/14/2021
september15wednesday9:15am-10:15ammovatibarrephysique(e),Wednesday15,9:15am-10:15am,Movati Barre Physique (E),Siobhan D.,09/15/2021,9:15am - 10:15am,Movati Barre Physique (E),TBO,09/12/2021 8:15:00,2021-09-15 09:15:00,2021-09-15 10:15:00,2021-09-12 08:15:00,https://api.groupexpro.com/gxp/reservations/start/index/12413876/09/15/2021
september15wednesday9:30am-10:30ambootcamp(e),Wednesday15,9:30am-10:30am,Boot Camp (E),Jennifer M.,09/15/2021,9:30am - 10:30am,Boot Camp (E),TBO,09/12/2021 8:30:00,2021-09-15 09:30:00,2021-09-15 10:30:00,2021-09-12 08:30:00,https://api.groupexpro.com/gxp/reservations/start/index/12424062/09/15/2021
september15wednesday10:15am-11:15amessentials(b),Wednesday15,10:15am-11:15am,Essentials (B),Dionne G.,09/15/2021,10:15am - 11:15am,Essentials (B),TBO,09/12/2021 9:15:00,2021-09-15 10:15:00,2021-09-15 11:15:00,2021-09-12 09:15:00,https://api.groupexpro.com/gxp/reservations/start/index/12416418/09/15/2021
september15wednesday10:45am-11:45amfundamentalfitness(b),Wednesday15,10:45am-11:45am,Fundamental Fitness (B),Jennifer M.,09/15/2021,10:45am - 11:45am,Fundamental Fitness (B),TBO,09/12/2021 9:45:00,2021-09-15 10:45:00,2021-09-15 11:45:00,2021-09-12 09:45:00,https://api.groupexpro.com/gxp/reservations/start/index/12411716/09/15/2021
september15wednesday12:10pm-12:50pmmovatibarrephysique(e),Wednesday15,12:10pm-12:50pm,Movati Barre Physique (E),Siobhan D.,09/15/2021,12:10pm - 12:50pm,Movati Barre Physique (E),TBO,09/12/2021 11:10:00,2021-09-15 12:10:00,2021-09-15 12:50:00,2021-09-12 11:10:00,https://api.groupexpro.com/gxp/reservations/start/index/12413889/09/15/2021
september15wednesday12:10pm-12:50pmhatha(e),Wednesday15,12:10pm-12:50pm,Hatha (E),Dionne G.,09/15/2021,12:10pm - 12:50pm,Hatha (E),TBO,09/12/2021 11:10:00,2021-09-15 12:10:00,2021-09-15 12:50:00,2021-09-12 11:10:00,https://api.groupexpro.com/gxp/reservations/start/index/12416429/09/15/2021
september15wednesday12:10pm-12:50pmzumbaâ®(e),Wednesday15,12:10pm-12:50pm,ZumbaÂ® (E),Samantha  B.,09/15/2021,12:10pm - 12:50pm,Zumba® (E),TBO,09/12/2021 11:10:00,2021-09-15 12:10:00,2021-09-15 12:50:00,2021-09-12 11:10:00,https://api.groupexpro.com/gxp/reservations/start/index/12411723/09/15/2021
september15wednesday4:00pm-5:00pmyin(e),Wednesday15,4:00pm-5:00pm,Yin (E),Dionne G.,09/15/2021,4:00pm - 5:00pm,Yin (E),TBO,09/12/2021 15:00:00,2021-09-15 16:00:00,2021-09-15 17:00:00,2021-09-12 15:00:00,https://api.groupexpro.com/gxp/reservations/start/index/12416441/09/15/2021
september15wednesday4:30pm-5:15pmrockbottom(e),Wednesday15,4:30pm-5:15pm,Rock Bottom (E),Jennifer M.,09/15/2021,4:30pm - 5:15pm,Rock Bottom (E),TBO,09/12/2021 15:30:00,2021-09-15 16:30:00,2021-09-15 17:15:00,2021-09-12 15:30:00,https://api.groupexpro.com/gxp/reservations/start/index/12411734/09/15/2021
