ID,uDay,uTime,uName,uTeacher,Day,Time,Name,Status,SignTime,dtStart,dtEnd,dtSignTime,Link
november20saturday9:00am-10:00amstep(i/a),Saturday20,9:00am-10:00am,Step (I/A),Sophia P.,,,,,,2021-11-20 09:00:00,2021-11-20 10:00:00,,https://api.groupexpro.com/gxp/reservations/start/index/12413707/11/20/2021
november20saturday9:00am-10:00amaquabootcamp(e),Saturday20,9:00am-10:00am,Aqua Bootcamp (E),Julie H.,,,,,,2021-11-20 09:00:00,2021-11-20 10:00:00,,https://api.groupexpro.com/gxp/reservations/start/index/12414531/11/20/2021
november20saturday9:00am-10:00amhatha(e),Saturday20,9:00am-10:00am,Hatha (E),Brett B.,,,,,,2021-11-20 09:00:00,2021-11-20 10:00:00,,https://api.groupexpro.com/gxp/reservations/start/index/12430746/11/20/2021
november20saturday9:00am-10:00ammachineorientation,Saturday20,9:00am-10:00am,Machine Orientation,Staff,,,,,,2021-11-20 09:00:00,2021-11-20 10:00:00,,https://api.groupexpro.com/gxp/reservations/start/index/12502832/11/20/2021
november20saturday9:15am-10:15ambodysculpt(e),Saturday20,9:15am-10:15am,Body Sculpt (E),Rachel F.,,,,,,2021-11-20 09:15:00,2021-11-20 10:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12414350/11/20/2021
november20saturday9:15am-10:15amspeed&power(e)â°,Saturday20,9:15am-10:15am,Speed & Power (E) Â°,Sheri-Lynn D.,,,,,,2021-11-20 09:15:00,2021-11-20 10:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12457400/11/20/2021
november20saturday10:15am-11:15ambootcamp(e),Saturday20,10:15am-11:15am,Boot Camp (E),Franchesca  W.(sub for Carrie C.),,,,,,2021-11-20 10:15:00,2021-11-20 11:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12413724/11/20/2021
november20saturday10:15am-11:15amcanceled:bootcamp(e),Saturday20,10:15am-11:15am,CANCELED: Boot Camp (E),Franchesca  W.,,,,,,2021-11-20 10:15:00,2021-11-20 11:15:00,,
november20saturday10:15am-11:15ampower&flow(i/a),Saturday20,10:15am-11:15am,Power & Flow (I/A),Brett B.,,,,,,2021-11-20 10:15:00,2021-11-20 11:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12430752/11/20/2021
november20saturday10:30am-11:15amspeed&power(e)â°,Saturday20,10:30am-11:15am,Speed & Power (E) Â°,Rachel F.,,,,,,2021-11-20 10:30:00,2021-11-20 11:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12410387/11/20/2021
